title,authors,
Stochastic Complexity and Generalization Error of a Restricted Boltzmann Machine in Bayesian Estimation,1,
Rademacher Complexities and Bounding the Excess Risk in Active Learning,1,
{SFO:} {A} Toolbox for Submodular Function Optimization,1,
libDAI: {A} Free and Open Source {C++} Library for Discrete Approximate Inference in Graphical Models,1,
On Finding Predictors for Arbitrary Families of Processes,1,
Introduction to Causal Inference,1,
Asymptotic Equivalence of Bayes Cross Validation and Widely Applicable Information Criterion in Singular Learning Theory,1,
Dual Averaging Methods for Regularized Stochastic Learning and Online Optimization,1,
High Dimensional Inverse Covariance Matrix Estimation via Linear Programming,1,
Analysis of Multi-stage Convex Relaxation for Sparse Regularization,1,
Regret Bounds and Minimax Policies under Partial Monitoring,2,
A Streaming Parallel Decision Tree Algorithm,2,
Characterization  Stability and Convergence of Hierarchical Clustering Methods,2,
A Convergent Online Single Time Scale Actor Critic Algorithm,2,
On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation,2,
Covariance in Unsupervised Learning of Probabilistic Grammars,2,
Stochastic Composite Likelihood,2,
An Investigation of Missing Data Methods for Classification Trees Applied to Binary Response Data,2,
On the Foundations of Noise-free Selective Classification,2,
Consistent Nonparametric Tests of Independence,2,
Incremental Sigmoid Belief Networks for Grammar Learning,2,
Expectation Truncation and the Benefits of Preselection In Training Generative Models,2,
Generalized Expectation Criteria for Semi-Supervised Learning with Weakly Labeled Data,2,
An Exponential Model for Infinite Rankings,2,
Stability Bounds for Stationary phi-mixing and beta-mixing Processes,2,
Dimensionality Estimation  Manifold Learning and Function Approximation using Tensor Voting,2,
Permutation Tests for Studying Classifier Performance,2,
High-dimensional Variable Selection with Sparse Random Projections: Measurement Sparsity and Statistical Efficiency,2,
Efficient Heuristics for Discriminative Structure Learning of Bayesian Network Classifiers,2,
A Rotation Test to Verify Latent Structure,2,
Gaussian Processes for Machine Learning {(GPML)} Toolbox,2,
Composite Binary Losses,2,
Fast and Scalable Local Kernel Machines,2,
PAC-Bayesian Analysis of Co-clustering and Beyond,2,
Maximum Relative Margin and Data-Dependent Regularization,2,
\emph{L\({}_{\mbox{p}}\)}-Nested Symmetric Distributions,2,
An Efficient Explanation of Individual Classifications using Game Theory,2,
Sparse Semi-supervised Learning Using Conjugate Functions,2,
Classification Using Geometric Level Sets,2,
Evolving Static Representations for Task Transfer,2,
Learning Instance-Specific Predictive Models,2,
Rate Minimaxity of the Lasso and Dantzig Selector for the \emph{l\({}_{\mbox{q}}\)} Loss in \emph{l\({}_{\mbox{r}}\)} Balls,2,
Bayesian Learning in Sparse Graphical Factor Models via Variational Mean-Field Annealing,2,
Classification Methods with Reject Option Based on Convex Risk Minimization,2,
On Spectral Learning,3,
On the Rate of Convergence of the Bagged Nearest Neighbor Estimate,3,
Semi-Supervised Novelty Detection,3,
Linear Algorithms for Online Multitask Classification,3,
Inducing Tree-Substitution Grammars,3,
Maximum Likelihood in Cost-Sensitive Learning: Model Specification  Approximations  and Upper Bounds,3,
Unsupervised Supervised Learning {I:} Estimating Classification and Regression Errors without Labels,3,
Error-Correcting Ouput Codes Library,3,
Importance Sampling for Continuous Time Bayesian Networks,3,
Consensus-Based Distributed Support Vector Machines,3,
Approximate Inference on Planar Graphs using Loop Calculus and Belief Propagation,3,
Collective Inference for Extraction MRFs Coupled with Symmetric Clique Potentials,3,
On-Line Sequential Bin Packing,3,
Practical Approaches to Principal Component Analysis in the Presence of Missing Values,3,
Near-optimal Regret Bounds for Reinforcement Learning,3,
Spectral Regularization Algorithms for Learning Large Incomplete Matrices,3,
Information Theoretic Measures for Clusterings Comparison: Variants  Properties  Normalization and Correction for Chance,3,
Chromatic PAC-Bayes Bounds for Non-IID Data: Applications to Ranking and Stationary {\(\beta\)}-Mixing Processes,3,
Restricted Eigenvalue Properties for Correlated Gaussian Designs,3,
Message-passing for Graph-structured Linear Programs: Proximal Methods and Rounding Schemes,3,
Learning Non-Stationary Dynamic Bayesian Networks,3,
On Learning with Integral Operators,3,
Learning Translation Invariant Kernels for Classification,3,
Topology Selection in Graphical Models of Autoregressive Processes,3,
A Generalized Path Integral Control Approach to Reinforcement Learning,3,
{MOA:} Massive Online Analysis,4,
Efficient Algorithms for Conditional Independence Inference,4,
Tree Decomposition for Large-Scale {SVM} Problems,4,
Large Scale Online Learning of Image Similarity Through Ranking,4,
Second-Order Bilinear Discriminant Analysis,4,
Using Contextual Representations to Efficiently Learn Context-Free Languages,4,
Mean Field Variational Approximation for Continuous-Time Bayesian Networks,4,
Posterior Regularization for Structured Latent Variable Models,4,
Model Selection: Beyond the Bayesian/Frequentist Divide,4,
Iterative Scaling and Coordinate Descent Methods for Maximum Entropy Models,4,
Estimation of a Structural Vector Autoregression Model Using Non-Gaussianity,4,
FastInf: An Efficient Approximate Inference Library,4,
Generalized Power Method for Sparse Principal Component Analysis,4,
Matrix Completion from Noisy Entries,4,
Optimal Search on Clustered Structural Constraint for Learning Bayesian Network Structure,4,
Image Denoising with Kernels Based on Natural Image Relations,4,
Online Learning for Matrix Factorization and Sparse Coding,4,
Hubs in Space: Popular Nearest Neighbors in High-Dimensional Data,4,
Approximate Tree Kernels,4,
Quadratic Programming Feature Selection,4,
Learnability  Stability and Uniform Convergence,4,
A Fast Hybrid Algorithm for Large-Scale \emph{l\({}_{\mbox{1}}\)}-Regularized Logistic Regression,4,
Graph Kernels,4,
Classification with Incomplete Data Using Dirichlet Process Priors,4,
