title,authors,
Secure Computation of the Median (and Other Elements of Specified Ranks),3,
Security Against Covert Adversaries: Efficient Protocols for Realistic Adversaries,2,
On \emph{d}-Multiplicative Secret Sharing,3,
How Should We Solve Search Problems Privately?,4,
Structural Cryptanalysis of {SASAS},2,
An Analysis of the Blockcipher-Based Hash Functions from {PGV},4,
Discrete Logarithm Problems with Auxiliary Inputs,1,
A New and Improved Paradigm for Hybrid Encryption Secure Against Chosen-Ciphertext Attack,4,
A Taxonomy of Pairing-Friendly Elliptic Curves,3,
On Expected Probabilistic Polynomial-Time Adversaries: {A} Suggestion for Restricted Definitions and Their Benefits,1,
A Verifiable Secret Shuffle of Homomorphic Encryptions,1,
Efficient Protocols for Set Intersection and Pattern Matching with Security Against Malicious and Covert Adversaries,2,
Obfuscation for Cryptographic Purposes,3,
Parallel and Concurrent Security of the {HB} and HB\({}^{\mbox{+}}\) Protocols,3,
Cryptanalysis of {MD2},4,
On the Efficient Generation of Prime-Order Elliptic Curves,4,
The {RSA} Group is Pseudo-Free,1,
The {TLS} Handshake Protocol: {A} Modular Analysis,3,
Long-Term Security and Universal Composability,2,
Efficient Cache Attacks on AES  and Countermeasures,3,
20,53,2.65
