title,authors,
Interactive Information Complexity,1,
Diffusive Influence Systems,1,
New Limits to Classical and Quantum Instance Compression,1,
Special Section on the Fifty-Third {IEEE} Annual Symposium on Foundations of Computer Science {(FOCS} 2012),1,
The Limits of Depth Reduction for Arithmetic Formulas: It's All About the Top Fan-In,2,
Quantum Locally Testable Codes,2,
Polynomial Learning of Distribution Families,2,
From Affine to Two-Source Extractors via Approximate Duality,2,
Randomized Approximation Schemes for Cuts and Flows in Capacitated Graphs,2,
On Non-Black-Box Simulation and the Impossibility of Approximate Obfuscation,2,
Approximating Boolean Functions with Depth-2 Circuits,2,
Steiner Shallow-Light Trees Are Exponentially Lighter than Spanning Ones,2,
Sample Complexity Bounds on Differentially Private Learning via Communication Complexity,2,
Optimal Impartial Selection,2,
How to Compute in the Presence of Leakage,2,
Structure Theorem and Isomorphism Test for Graphs with Excluded Topological Subgraphs,2,
Approximating Minimization Diagrams and Generalized Proximity Search,2,
Short Proofs for the Determinant Identities,2,
Fast Augmenting Paths by Random Sampling from Residual Graphs,2,
On the Number of Iterations for Dantzig-Wolfe Optimization and Packing-Covering Approximation Algorithms,2,
Regular Graphs and the Spectra of Two-Variable Logic with Counting,2,
Constructive Discrepancy Minimization by Walking on the Edges,2,
Fast Nonadaptive Deterministic Algorithm for Conflict Resolution in a Dynamic Multiple-Access Channel,2,
A Forward-Backward Single-Source Shortest Paths Algorithm,2,
Embedding Metrics into Ultrametrics and Graphs into Spanning Trees with Constant Average Distortion,3,
Partially Symmetric Functions Are Efficiently Isomorphism Testable,3,
Anisotropic Delaunay Mesh Generation,3,
Tight Lower Bounds for the Online Labeling Problem,3,
Testing Probability Distributions using Conditional Samples,3,
How to Meet Asynchronously at Polynomial Cost,3,
Large Induced Subgraphs via Triangulations and {CMSO},3,
Iterative Rounding Approximation Algorithms for Degree-Bounded Node-Connectivity Network Design,3,
Cutting Corners Cheaply  or How to Remove Steiner Points,3,
Stronger Methods of Making Quantum Interactive Proofs Perfectly Complete,3,
The Power of Linear Programming for General-Valued CSPs,3,
Quasi-Polynomial Time Approximation Scheme for Weighted Geometric Set Cover on Pseudodisks and Halfspaces,3,
Hitting-Sets for {ROABP} and Sum of Set-Multilinear Circuits,4,
Encoding Functions with Constant Online Rate  or How to Compress Garbled Circuit Keys,4,
Minimum Congestion Mapping in a Cloud,4,
Fully Dynamic Maximal Matching in O(log n) Update Time,4,
A Tight Linear Time (1/2)-Approximation for Unconstrained Submodular Maximization,4,
New Doubling Spanners: Better and Simpler,4,
Fixed-Parameter Algorithms for Finding Agreement Supertrees,4,
Lower Bounds for Depth-4 Formulas Computing Iterated Matrix Multiplication,4,
A Complementary Pivot Algorithm for Market Equilibrium under Separable  Piecewise-Linear Concave Utilities,4,
Finding Collisions in Interactive Protocols - Tight Lower Bounds on the Round and Communication Complexities of Statistically Hiding Commitments,4,
Counting List Matrix Partitions of Graphs,5,
Low-Distortion Inference of Latent Similarities from a Multiplex Social Network,5,
Optimal Local Routing on Delaunay Triangulations Defined by Empty Equilateral Triangles,5,
Smoothed Analysis of the Successive Shortest Path Algorithm,5,
Multicommodity Flows and Cuts in Polymatroidal Networks,5,
Space Complexity in Polynomial Calculus,5,
Pattern Formation by Oblivious Asynchronous Mobile Robots,5,
Operator Precedence Languages: Their Automata-Theoretic and Logic Characterization,5,
Making the Long Code Shorter,6,
Lower Bounds on Information Complexity via Zero-Communication Protocols and Applications,6,
Random Access to Grammar-Compressed Strings and Trees,7,
57,179,3.140350877
