title,authors,
All-Distances Sketches  Revisited: {HIP} Estimators for Massive Graphs Analysis,1,
Accelerated Continuous Conditional Random Fields For Load Forecasting,1,
Modeling the Probability of a Strikeout for a Batter/Pitcher Matchup,1,
Real-Time Semiparametric Regression for Distributed Data Sets,1,
"A Comment on ""A Similarity Measure for Text Classification and Clustering""",1,
State of the Journal Editorial,1,
Editorial,1,
Improving Stability of Recommender Systems: {A} Meta-Algorithmic Approach,2,
PruDent: {A} Pruned and Confident Stacking Approach for Multi-Label Classification,2,
CRoM and HuspExt: Improving Efficiency of High Utility Sequential Pattern Extraction,2,
Unsupervised Feature Selection with Controlled Redundancy (UFeSCoR),2,
HOCTracker: Tracking the Evolution of Hierarchical and Overlapping Communities in Dynamic Social Networks,2,
An Iterative MapReduce Based Frequent Subgraph Mining Algorithm,2,
Bayes-Optimal Hierarchical Multilabel Classification,2,
Effective Classification Using a Small Training Set Based on Discretization and Statistical Analysis,2,
{SAX} Discretization Does Not Guarantee Equiprobable Symbols,2,
Efficient Enforcement of Action-Aware Purpose-Based Access Control within Relational Database Management Systems,2,
Customizable Point-of-Interest Queries in Road Networks,2,
Pattern-Aided Regression Modeling and Prediction Model Analysis,2,
Anonymizing Collections of Tree-Structured Data,2,
Reputation Aggregation in Peer-to-Peer Network Using Differential Gossip Algorithm,2,
PPSGen: Learning-Based Presentation Slides Generation for Academic Papers,2,
Query Analytics over Probabilistic Databases with Unmerged Duplicates,2,
An LSH-Based Blocking Approach with a Homomorphic Matching Technique for Privacy-Preserving Record Linkage,2,
Making Digital Artifacts on the Web Verifiable and Reliable,2,
A Query Approach for Influence Maximization on Specific Users in Social Networks,2,
Association Discovery in Two-View Data,2,
Learning Balanced and Unbalanced Graphs via Low-Rank Coding,2,
Route-Saver: Leveraging Route APIs for Accurate and Efficient Query Processing at Location-Based Services,2,
Improved Greedy Algorithms for Sparse Approximation of a Matrix in Terms of Another Matrix,2,
Are Data Sets Like Documents?: Evaluating Similarity-Based Ranked Search over Scientific Data,2,
Cluster-Based Boosting,2,
Trajic: An Effective Compression System for Trajectory Data,2,
The Composite Data Model: {A} Unified Approach for Combining and Querying Multiple Data Models,2,
On Evaluating the Contribution of Validation for Question Answering,2,
Role Discovery in Networks,2,
An Effective GPU-Based Approach to Probabilistic Query Confidence Computation,2,
Non-Negative Matrix Factorization with Auxiliary Information on Overlapping Groups,2,
Multi-Core Processing of {XML} Twig Patterns,2,
Parsimonious Topic Models with Salient Word Discovery,2,
A Family of Rank Similarity Measures Based on Maximized Effectiveness Difference,2,
Privacy-Preserving Multi-Keyword Search in Information Networks,2,
Cross-Language Learning from Bots and Users to Detect Vandalism on Wikipedia,2,
Relational Collaborative Topic Regression for Recommender Systems,2,
Citation Networks and the Emergence of Knowledge Core,2,
Deadline Assignment and Feedback Control for Differentiated Real-Time Data Services,2,
Efficient Answering of Why-Not Questions in Similar Graph Matching,3,
Holistic Measures for Evaluating Prediction Models in Smart Grids,3,
Propagation of Data Fusion,3,
Maximizing a Record's Standing in a Relation,3,
PAXQuery: Efficient Parallel Processing of Complex XQuery,3,
Mining Temporal Patterns in Time Interval-Based Data,3,
PB\({}^{\mbox{+}}\)-Tree: PCM-Aware B\({}^{\mbox{+}}\)-Tree,3,
{RACOG} and wRACOG: Two Probabilistic Oversampling Techniques,3,
Lossless Selection Views under Conditional Domain Constraints,3,
Pattern-based Topics for Document Modelling in Information Filtering,3,
Scalable Classification of Repetitive Time Series Through Frequencies of Local Polynomials,3,
Discovering Data Set Nature through Algorithmic Clustering Based on String Compression,3,
Checking Chase Termination: Cyclicity Analysis and Rewriting Techniques,3,
A Critical-Time-Point Approach to All-Departure-Time Lagrangian Shortest Paths,3,
Efficient Top-k Retrieval on Massive Data,3,
Using Copulas in Data Mining Based on the Observational Calculus,3,
Effective and Efficient Algorithms for Flexible Aggregate Similarity Search in High Dimensional Spaces,3,
{RRW} - {A} Robust and Reversible Watermarking Technique for Relational Data,3,
Guest editorial: Special section on the international conference on data engineering,3,
Voronoi Cell-Based Clustering Using a Kernel Support,3,
Change-Point Detection in a Sequence of Bags-of-Data,3,
Scalable Online Betweenness Centrality in Evolving Graphs,3,
Multicategory Crowdsourcing Accounting for Variable Task Difficulty  Worker Skill  and Worker Intention,3,
A Unifying Framework of Mining Trajectory Patterns of Various Temporal Tightness,3,
A Set of Complexity Measures Designed for Applying Meta-Learning to Instance Selection,3,
Rule-Based Method for Entity Resolution,3,
Context-Based Diversification for Keyword Queries Over {XML} Data,3,
Unsupervised Ranking of Multi-Attribute Objects Based on Principal Curves,3,
ePeriodicity: Mining Event Periodicity from Incomplete Observations,3,
Keyword Search Over Probabilistic {RDF} Graphs,3,
Reverse Keyword Search for Spatio-Textual Top-{\textdollar}k{\textdollar} Queries in Location-Based Services,3,
{LINQ:} {A} Framework for Location-Aware Indexing and Query Processing,3,
IncreSTS: Towards Real-Time Incremental Short Text Summarization on Comment Streams from Social Network Services,3,
Structured Learning from Heterogeneous Behavior for Social Identity Linkage,3,
Co-Extracting Opinion Targets and Opinion Words from Online Reviews Based on the Word Alignment Model,3,
Non-Myopic Adaptive Route Planning in Uncertain Congestion Environments,3,
Active Learning through Adaptive Heterogeneous Ensembling,3,
Real-Time City-Scale Taxi Ridesharing,3,
Review Selection Using Micro-Reviews,3,
Application Sensitive Energy Management Framework for Storage Systems,3,
CogBoost: Boosting for Fast Cost-Sensitive Graph Classification,3,
Progressive Duplicate Detection,3,
Precision-Bounded Access Control Using Sliding-Window Query Views for Privacy-Preserving Data Streams,3,
Breaking the Barrier to Transferring Link Information across Networks,3,
Fast Best-Effort Search on Graphs with Multiple Attributes,3,
k-Nearest Neighbor Classification over Semantically Secure Encrypted Relational Data,3,
SociaLite: An Efficient Graph Query Language Based on Datalog,3,
{PAGE:} {A} Partition Aware Engine for Parallel Graph Computation,3,
Entity Linking with a Knowledge Base: Issues  Techniques  and Solutions,3,
Overlapping Decomposition for Gaussian Graphical Modeling,3,
RankRC: Large-Scale Nonlinear Rare Class Ranking,3,
Visual Classification by {\(\mathscr{l}\)}\({}_{\mbox{1}}\)-Hypergraph Modeling,3,
Indexing Earth Mover's Distance over Network Metrics,3,
Feature Selection via Global Redundancy Minimization,3,
Distance-Aware Join for Indoor Moving Objects,3,
Top-k Similarity Join in Heterogeneous Information Networks,3,
Query Aware Determinization of Uncertain Objects,3,
A Unified Framework for Epidemic Prediction based on Poisson Regression,3,
Efficient Parallel Processing of Distance Join Queries Over Distributed Graphs,3,
Principled Graph Matching Algorithms for Integrating Multiple Data Sources,3,
Imbalanced Multiple Noisy Labeling,3,
Graph Based Constrained Semi-Supervised Learning Framework via Label Propagation over Adaptive Neighborhood,3,
