title,authors,
Formal interpreters for diagram notations,2,
A scalable formal method for design and automatic checking of user interfaces,4,
A comprehensive approach for the development of modular software architecture description languages,3,
Software reuse for scientific computing through program generation,2,
Impact of software engineering research on the practice of software configuration management,7,
Reasoning about static and dynamic properties in alloy: {A} purely relational approach,5,
Reasoning about inconsistencies in natural language requirements,2,
Editorial,5,
Toward an engineering discipline for grammarware,3,
An extended fault class hierarchy for specification-based testing,2,
Parameterized object sensitivity for points-to analysis for Java,3,
The impact of software engineering research on modern programming languages,3,
An empirical study of industrial requirements engineering process assessment and improvement,2,
13,43,3.307692308
